	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	weerspiegelen		ww*	weerspiegel, weerspiegelde, weerspiegeld*	B2*		
	weerstaan		ww*	weersta, weerstond, weerstaan*	B2*		
de	weerstand		znw*	weerstanden; weerstandje*	B1*		
de	weerszijden						
de	weerwil		znw*	/; /*	B2*		
het	weerzien		ww; znw*	/; /*	B2*		
de	weerzin		znw*	/; weerzinnetje*	B2*		
	weerzinwekkend		bnw*	weerzinwekkende; weerzinwekkender, weerzinwekkendst*	B2*		
de	wees		znw*	wezen; weesje*	A2*		
de	weet		znw*	/; weetje*	A2*		
	weg		bw; znw; znw*	*	A2	niet meer hier	
de	weg		bw; znw; znw*	weggen; weggetje*	A2		
de	wegcode		znw*	wegcodes; /*	B2*		
het	wegdek		znw*	wegdekken; /*	B1*		
de	wegel		znw*	wegels; wegeltje*	B2*		
	wegen		ww*	weeg, woog, gewogen*	A2*		
	wegens		vz*	*	B2*		
de	Wegenwacht						
	weggaan		ww*	ga weg, wegging, weggegaan*	B2*		
	weggeven		ww*	weggeef, gaf weg, weggegeven*	A2*		
	weggooien		ww*	gooi weg, weggooide, weggegooid*	B2*		
	weghalen		ww*	weghaal, weghaalde, weggehaald*	B1*		
	wegleggen		ww*	leg weg, weglegde, weggelegd*	B1*		
	weglopen		ww*	loop weg, wegliep, weggelopen*	A2*		
	weglopen met						
	weglopen voor						
	wegnemen		ww*	wegneem, wegnam, weggenomen*	B1*		
	wegsturen		ww*	wegstuur, stuurde weg, weggestuurd*	B2*		
	wegvallen		ww*	val weg, viel weg, weggevallen*	B2*		
	weg van						
	wegwerken		ww*	wegwerk, werkte weg, weggewerkt*	B2*		
	wegwijs		bnw*	wegwijze; wegwijzer, wegwijst*	B2*		
de	wegwijzer		znw*	wegwijzers; wegwijzertje*	B2*		
de	wei		znw; znw*	weien; weitje*	A2*		
de	weide		znw*	weiden; /*	B2*		
	weids		bnw*	weidse; weidser, weidst*	B2*		
	weifelen		ww*	weifel, weifelde, geweifeld*	B2*		
	weigeren		ww*	weiger, weigerde, geweigerd*	B1*		
het	weiland		znw*	weilanden; weilandje*	B1*		
	weinig		bw; znw; vnw*	*	A2*		
	wekelijks		bnw*	wekelijkse; /, /*	B1*		
	weken		ww*	week, weekte, geweekt*	A2*		
	wekelijks		bnw*	wekelijkse; /, /*	B1*		
	wekken		ww*	wek, wekte, gewekt*	B1*		
de	wekker		znw*	wekkers; wekkertje*	B1*		
	wel		tsw; bw; znw*	*	A2*		
	weldadig		bnw*	weldadige; weldadiger, weldadigst*	B2*		
	weldra		bw*	*	B2*		
	weleens		bw*	*	B2*		
	weleer		bw*	*	B2*		
	welgesteld		bnw*	welgestelde; welgestelder, welgesteldst*	B2*		
	welhaast		bw*	*	B2*		
	weliswaar		bw*	*	B2*		
	welk		vnw; vnw*	*	A1		
	welkom		tsw; znw; bnw*	*	A2		
	welkom		tsw; znw; bnw*	welkome; welkomer, welkomst*	A2*		
het	welkom		tsw; znw; bnw*	/; /*	A2*		
	welletjes		bnw*	/; /, /*	B2*		
	wellicht		bw*	*	B2*		
	weloverwogen		bnw*	/; /, /*	B2*		
de	welp		znw*	welpen; welpje*	B2*		
de	welstand		znw*	welstanden; /*	B2*		
	welterusten		tsw*	*	A2*		
de	welvaart		znw*	/; /*	B2*		
	welvarend		bnw*	welvarende; welvarender, welvarendst*	B2*		
	welwillend		bnw*	welwillende; welwillender, welwillendst*	B2*		
het	welzijn		znw*	/; /*	B2*		
	wemelen van						
zich	wenden tot						
de	wending		znw*	wendingen; wendingkje*	B2*		
de	wenk		znw*	wenken; /*	B1*		
de	wenkbrauw		znw*	wenkbrauwen; wenkbrauwtje*	B1*		
	wenken		ww*	wenk, wenkte, gewenkt*	B1*		
	wennen		ww*	wen, wende, gewend*	A2*		
de	wens		znw*	wensen; wensje*	A2		
	wenselijk		bnw*	wenselijke; wenselijker, wenselijkst*	B2*		
	wensen		ww*	wens, wenste, gewenst*	B1*		
	wentelen		ww*	wentel, wentelde, gewenteld*	B2*		
de	wenteltrap		znw*	wenteltrappen; wenteltrapje*	B2*		
de	wereld		znw*	werelden; wereldje*	A2		
	wereld-						
de	wereldbeker		znw*	wereldbekers; /*	B2*		
	wereldberoemd		bnw*	wereldberoemde; /, /*	B2*		
de	wereldbol		znw*	wereldbollen; wereldbolletje*	B1*		
het	werelddeel		znw*	werelddelen; werelddeeltje*	A2	continent	
de	wereldkampioen		znw*	wereldkampioenen; /*	B2*		
het	wereldkampioenschap		znw*	wereldkampioenschappen; /*	B2*		
	wereldkundig		bnw*	/; /, /*	B2*		
de	wereldoorlog		znw*	wereldoorlogen; /*	B2*		
het	wereldrecord		znw*	wereldrecords; wereldrecordje*	B2*		
de	wereldstad		znw*	wereldsteden; wereldstadje*	B2*		
de	wereldtitel		znw*	wereldtitels; wereldtiteltje*	B2*		
	wereldwijd		bnw*	wereldwijde; /, /*	B2*		
	weren		ww*	weer, weerde, geweerd*	A2*		
de	werf		znw*	werven; werfje*	B2*		
het	werk		znw*	werken; werkje*	A1		
de	werkdag		znw*	werkdagen; werkdagje*	B1*		
de	werkdruk		znw*	/; /*	B2*		
	werkelijk		bnw*	werkelijke; werkelijker, werkelijkst*	B2*		
de	werkelijkheid		znw*	werkelijkheden; /*	B1*		
	werkeloos		bnw*	werkeloze; werkelozer, werkeloost*	B2*		
	werken		ww*	werk, werkte, gewerkt*	A1		
de	werkgeefster		znw*	werkgeefsters; /*	B2*		
de	werkgelegenheid		znw*	werkgelegenheden; /*	B2*		
de	werkgever		znw*	werkgevers; /*	B1*		
de	werkgroep		znw*	werkgroepen; werkgroepje*	B1*		
de	werking		znw*	werkingen; /*	B2*		
	werkloos		bnw*	werkloze; werklozer, werkloost*	A2*		
de	werkloosheid		znw*	/; /*	B2*		
de	werkloze		znw*	werklozen; /*	A2*		
de	werkneemster		znw*	werkneemsters; /*	B2*		
de	werknemer		znw*	werknemers; werknemertje*	B1*		
de	werkplaats		znw*	werkplaatsen; werkplaatsje*	B1*		
de	werkster		znw*	werksters; werkstertje*	B1*		
het	werkstuk		znw*	werkstukken; werkstukje*	B2*		
de	werktijd		znw*	werktijden; /*	B2*		
het	werktuig		znw*	werktuigen; werktuigje*	B2*		
de	werkweek		znw*	werkweken; werkweekje*	B2*		
de	werkwijze		znw*	werkwijzen; /*	B2*		
het	werkwoord		znw*	werkwoorden; /*	B2*		
	werkzaam		bnw*	werkzame; werkzamer, werkzaamst*	B2*		
de	werkzaamheden						
de	werkzoekende		znw*	werkzoekenden; /*	B2*		
	werpen		ww*	werp, wierp, geworpen*	B2*		
de	wervel		znw*	wervels; werveltje*	B2*		
de	wervelkolom		znw*	wervelkolommen; /*	B2*		
de	wervelwind		znw*	wervelwinden; wervelwindje*	B2*		
	werven		ww*	werf, wierf, geworven*	B2*		
de	wesp		znw*	wespen; wespje*	A2*		
de	west		znw; bw*	/; /*	A2		
het	westen		znw*	/; /*	A2		
de	westerling		znw*	westerlingen; /*	B2*		
de	westerlinge						
	westers		bnw*	westerse; westerser, westerst*	B1*		
de	wet		znw*	wetten; wetje*	A2*		
het	wetboek		znw*	wetboeken; wetboekje*	B1*		
	weten		ww*	weet, wist, geweten*	A2		
het	weten		ww*	weet, wist, geweten*	A2*		
	wetens						
de	wetenschap		znw*	wetenschappen; wetenschapje*	A2		
	wetenschappelijk		bnw*	wetenschappelijke; wetenschappelijker, wetenschappelijkst*	B1*		
de	wetenschapper		znw*	wetenschappers; wetenschappertje*	B1*		
de	wetenswaardigheid		znw*	wetenswaardigheden; wetenswaardigheidje*	B2*		
	weten te						
de	wetgeving		znw*	wetgevingen; /*	B1*		
de	wethouder		znw*	wethouders; wethoudertje*	B1*		
