	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
zich	conformeren		ww*	conformeer, conformeerde, geconformeerd*	B2*		
de	confrontatie		znw*	confrontaties; confrontatietje*	B2*		
	confronteren		ww*	confronteer, confronteerde, geconfronteerd*	B2*		
het	congres		znw*	congressen; congresje*	A2		
de	conifeer		znw*	coniferen; conifeertje*	B2*		
de	conjunctuur		znw*	conjuncturen; /*	B2*		
de	consensus		znw*	/; /*	B2*	iets waarover iedereen het (ongeveer) eens is	
	consequent		bnw*	consequente; consequenter, consequentst*	B2*		
de	consequentie		znw*	consequenties; /*	B2*		
	conservatief		bnw; znw*	conservatieve; conservatiever, conservatiefst*	B2*		
het	conservatorium		znw*	conservatoria; /*	B2*		
	constant		bnw*	constante; constanter, constantst*	B2*		
	constateren		ww*	constateer, constateerde, geconstateerd*	B1	vaststellen	
de	consternatie		znw*	/; /*	B2*		
de	constitutie		znw*	constituties; /*	B2*	grondwet	
de	constitutie		znw*	constituties; /*	B2*	gesteldheid	
de	constructie		znw*	constructies; constructietje*	B2*		
	constructief		bnw*	constructieve; constructiever, constructiefst*	B2*		
de	consul		znw*	consuls; /*	B2*		
het	consulaat		znw*	consulaten; /*	B2*		
het	consult		znw*	consulten; /*	B2*		
de	consultatie		znw*	consultaties; /*	B2*		
het	consultatiebureau		znw*	consultatiebureaus; consultatiebureautje*	B2*		
	consulteren		ww*	consulteer, consulteerde, geconsulteerd*	B2*		
de	consument		znw*	consumenten; consumentje*	B1*		
	consumeren		ww*	consumeer, consumeerde, geconsumeerd*	B1*		
de	consumptie		znw*	consumpties; /*	B2*		
het	contact		znw*	contacten; contactje*	A1		
de	contactgegevens		znw*	contactgegevens; /*	B2*		
de	contactlens		znw*	contactlenzen; contactlensje*	B1*		
de	container		znw*	containers; containertje*	B1*		
het	containerpark		znw*	containerparken; containerparkje*	B2*	(BE)	
	contant		bnw*	contante; contanter, contantst*	B1*		
de	contante						
	content		bnw; znw*	contente; contenter, contentst*	B2*	tevreden	
de	context		znw*	contexten; /*	B2*		
het	continent		znw*	continenten; continentje*	B1*	werelddeel	
het	conto		znw*	conti; /*	B2*		
de	contouren						
	contra		znw; vz*	*	B2*		
het	contra		znw; vz*	contra's; /*	B2*		
het	contract		znw*	contracten; contractje*	A2		
	contracteren		ww*	contracteer, contracteerde, gecontracteerd*	B2*		
	contraproductief		bnw*	contraproductieve; contraproductiever, contraproductiefst*	B2*	werkt tegen	
het	contrast		znw*	contrasten; contrastje*	B2*		
de	contributie		znw*	contributies; /*	B2*		
de	controle		znw*	controles; controletje*	B1*		
	controleren		ww*	controleer, controleerde, gecontroleerd*	A2		
de	controverse		znw*	controversen; /*	B2*		
	controversieel		bnw*	controversiële; controversiëler, controversieelst*	B2*		
het	convenant		znw*	convenants; /*	B2*		
de	conventie		znw*	conventies; conventietje*	B2*		
	conventioneel		bnw*	conventionele; conventioneler, conventioneelst*	B2*		
de	conversatie		znw*	conversaties; /*	B2*	gesprek	
	converseren		ww*	converseer, converseerde, geconverseerd*	B2*		
	cool		bnw*	coole; cooler, coolst*	B1*		
de	coöperatie		znw*	coöperaties; coöperatietje*	B2*		
de	coördinatie		znw*	coördinaties; /*	B2*		
de	coördinator		znw*	coördinatoren; /*	B2*		
	coördineren		ww*	coördineer, coördineerde, gecoördineerd*	B2*		
de	co-ouder		znw*	co-ouders; /*	B2*		
de	corner		znw*	corners; cornertje*	B2*		
de	corporatie		znw*	corporaties; /*	B2*		
	correct		bnw*	correcte; correcter, correctst*	B1*		
de	correctie		znw*	correcties; correctietje*	B2*		
	correctioneel		bnw*	correctionele; correctioneler, correctioneelst*	B2*		
de	correspondent		znw*	correspondenten; correspondentje*	B1*		
de	correspondentie		znw*	correspondenties; /*	B2*		
	corresponderen		ww*	correspondeer, correspondeerde, gecorrespondeerd*	B2*		
	corrigeren		ww*	corrigeer, corrigeerde, gecorrigeerd*	B2*		
	corrupt		bnw*	corrupte; corrupter, corruptst*	B2*		
de	corruptie		znw*	corrupties; /*	B2*		
de	corsage		znw*	corsages; /*	B2*		
de	coryfee		znw*	coryfeeën; /*	B2*		
de	cosmetica		znw*	cosmetica; /*	B2*		
	cosmetisch		bnw*	cosmetische; cosmetischer, /*	B2*		
de	couchette		znw*	couchettes; /*	B2*		
de	countertenor		znw*	countertenors; /*	B2*		
de	coup		znw*	coups; couptje*	B2*		
de	coupe		znw*	coupes; coupeje*	B1*		
de	coupé		znw*	coupés; coupeetje*	B1*		
het	couplet		znw*	coupletten; coupletje*	B2*		
de	coupon		znw*	coupons; couponnetje*	B2*		
	courant		bnw; znw; znw*	courante; couranter, courantst*	B2*		
de	courant		bnw; znw; znw*	couranten; courantje*	B2*		
de	coureur		znw*	coureurs; coureurtje*	B2*		
de	courgette		znw*	courgettes; courgettetje*	B2*		
de	couscous		znw*	/; /*	B2*		
de	couveuse		znw*	couveuses; /*	B2*		
de	cover		znw*	covers; covertje*	B2*		
de	cracker		znw*	crackers; crackertje*	B1*		
de	crash		znw*	crashes; crashje*	B1*		
de	creatie		znw*	creaties; /*	B2*		
	creatief		bnw*	creatieve; creatiever, creatiefst*	B1*		
de	crèche		znw*	crèches; crècheje*	A2*		
de	creditcard		znw*	creditcards; /*	B1*		
	creëren		ww*	creëer, creëerde, gecreëerd*	B2*		
de	crematie		znw*	crematies; /*	B1*		
het	crematorium		znw*	crematoria; /*	B2*		
	crème		znw; bnw*	/; crèmer, crèmest*	B1*		
de	crème		znw; bnw*	crèmes; crèmepje*	B1*		
	cremeren		ww*	cremeer, cremeerde, gecremeerd*	B1*		
de	criminaliteit		znw*	/; /*	B1*		
	crimineel		bnw; znw*	criminele; crimineler, crimineelst*	B1*		
de	crimineel		bnw; znw*	criminelen; crimineeltje*	B1*		
de	crisis		znw*	crisissen; crisisje*	A2		
het	criterium		znw*	criteria; criteriumpje*	B2*		
de	criticus		znw*	critici; criticusje*	B2*		
de	croissant		znw*	croissants; croissantje*	B1*		
de	croquemonsieur						
