	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	aansteker		znw					144
	aanstellen		ww					145
zich	aanstellen		ww			raar doen, overdrijven		146
de	aanstelling		znw					147
de	aanstoot		znw					148
	aanstoot geven							149
	aanstoot nemen aan							150
	aanstootgevend		bnw					151
	aansturen op		ww					152
het	aantal		znw		A2	hoeveel er zijn	In de tabel staat het aantal studenten per klas.	153
het	aantal		bw		A2	enkele, een paar	Ik ga een aantal dagen naar Berlijn.	154
	aantasten		ww					155
	aantekenen		ww					156
de	aantekening		znw					157
de	aantijging		znw					158
de	aantocht		znw					159
	aantonen		ww					160
	aantreden		ww					161
	aantreffen		ww		B1	vinden; tegenkomen		162
	aantrekkelijk		bnw		B1	mooi		163
	aantrekken		ww		A2	aandoen (van kleren)		164
	aantrekken		ww			interessant zijn voor iemand		164
	aantrekken		ww		B1	doen komen (door bv. interesse)		164
de	aantrekkingskracht		znw					165
	aanvaardbaar		bnw					166
	aanvaarden		ww		B2	accepteren	Ik aanvaard je excuses niet!	167
de	aanval		znw		A2			168
	aanvallen		ww		A2			169
de	aanvaller		znw					170
de	aanvang		znw		B2	begin		171
	aanvangen		ww		B2	beginnen		172
	aanvankelijk		bnw		B2	eerst, in het begin		173
de	aanvaring		znw					174
	aanvechten		ww					175
	aanverwant		bnw					176
	aanvoelen		ww					177
het	aanvoelen		znw			instinct		178
de	aanvoerder		znw					179
	aanvoeren		ww					180
de	aanvraag		znw					181
	aanvragen		ww		A2	vragen om te hebben		182
	aanvullen		ww					183
de	aanvulling		znw					184
	aanwakkeren		ww					185
	aanwenden		ww					186
zich	aanwennen		ww					187
	aanwerven		ww			(BE)		188
	aanwezig		bnw		A2			189
de	aanwezige		znw					190
	aanwijzen		ww		A2			191
de	aanwijzing		znw		B1			192
de	aanwinst		znw					193
de	aanzet		znw					194
	aanzetten		ww			aandoen; in actieve modus zetten		195
	aanzetten		ww			komen opdagen (negatief, bv. te laat)	De directeur komt altijd met een hele lijst nieuwe taken aanzetten.	195
	aanzetten tot		ww			doen beginnen		196
	aanzien		ww		B2	afwachten		197
	aanzien voor		ww			beschouwen als, denken dat 		198
het	aanzien		znw		B1	invloed, gezag	Heeft de Nederlandse koning veel aanzien?	199
het	aanzien		znw		B1	respect dat je voor iemand/iets hebt	Flixbus is in mijn aanzien gestegen… Er is wifi!	199
	aanzienlijk		bnw		B1	veel, duidelijk (te zien)	Het nieuwe model is aanzienlijk kleiner.	200
de	aap		znw					201
de	aard		znw		B1	karakter, type		202
de	aardappel		znw		A1	🥔 bruine groente	Met aardappels maak je frietjes.	203
de	aardbei		znw			🍓		204
de	aardbeving		znw					205
de	aarde		znw		A2	wereld; grond	De aarde is rond.	206
het	aardewerk		znw					207
het	aardgas		znw					208
	aardig		bnw		A2	vriendelijk	Francis is een aardige man.	209
	aardig		bw			best, nogal, vrij veel	Je kan al aardig Nederlands!	210
