	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	tennissen		ww*	tennis, tenniste, getennist*	B1*		
de	tenor		znw*	tenors; /*	B2*		
	tenslotte		bw*	*	B1*		
de	tent		znw*	tenten; tentje*	A2*		
het	tentamen		znw*	tentamens; tentamentje*	B2*		
	tentoonstellen		ww*	tentoonstel, stelde tentoon, tentoongesteld*	B2*		
de	tentoonstelling		znw*	tentoonstellingen; tentoonstellinkje*	B1*		
de/het	tenue		znw*	tenues; tenuetje*	B2*		
	tenzij		ovw*	*	B2*		
de	tepel		znw*	tepels; tepeltje*	A2*		
	ter		vz*	*	A2*		
	terecht		bnw; bw*	terechte; terechter, terechtst*	B2*		
	terechtkomen		ww*	terechtkom, terechtkwam, terechtgekomen*	B1*		
	terechtstellen		ww*	stel terecht, stelde terecht, terechtgesteld*	B2*		
	terechtwijzen		ww*	wijs terecht, wees terecht, terechtgewezen*	B2*		
de	terechtwijzing		znw*	terechtwijzingen; terechtwijzinkje*	B2*		
	tergen		ww*	terg, tergde, getergd*	B2*		
	terloops		bnw*	terloopse; terloopser, terloopst*	B2*		
de	term		znw*	termen; termpje*	B2*		
de	termijn		znw*	termijnen; termijntje*	B1*		
	terminaal		bnw*	terminale; terminaler, terminaalst*	B2*		
de	terminus		znw*	terminussen; /*	B2*		
	ternauwernood		bw*	*	B2*		
het	terras		znw*	terrassen; terrasje*	A2*		
het	terrein		znw*	terreinen; terreintje*	B1*		
de	terreur		znw*	/; /*	B2*		
	territoriaal		bnw*	territoriale; territorialer, territoriaalst*	B2*		
het	territorium		znw*	territoriums; territoriumpje*	B2*		
	terroriseren		ww*	terroriseer, terroriseerde, geterroriseerd*	B2*		
het	terrorisme		znw*	/; /*	B1*		
	tersluiks		bnw*	tersluikse; tersluikser, tersluikst*	B2*		
	terstond		bw*	*	B2*		
	terug		bw*	*	A2*		
	terugbetalen		ww*	betaal terug, terugbetaalde, terugbetaald*	A2*		
de	terugblik		znw*	terugblikken; /*	B2*		
	terugblikken op						
	terugbrengen		ww*	terugbreng, terugbracht, teruggebracht*	A2*		
	terugdeinzen voor						
	terugdraaien		ww*	draai terug, draaide terug, teruggedraaid*	B1*		
	terugdringen		ww*	terugdring, terugdrong, teruggedrongen*	B2*		
	teruggaan		ww*	terugga, terugging, teruggegaan*	B2*		
	teruggeven		ww*	geef terug, gaf terug, teruggegeven*	B1*		
	terughoudend		bnw*	terughoudende; terughoudender, terughoudendst*	B2*		
	terugkeren		ww*	keer terug, keerde terug, teruggekeerd*	B1*		
	terugkijken op						
	terugkomen		ww*	kom terug, kwam terug, teruggekomen*	A2*		
	terugkomen op						
	terugkomen van						
	terugkrijgen		ww*	krijg terug, terugkreeg, teruggekregen*	B2*		
	teruglopen		ww*	loop terug, terugliep, teruggelopen*	B1*		
	terugnemen		ww*	terugneem, nam terug, teruggenomen*	B1*		
de	terugronde		znw*	terugronden; /*	B2*		
de	terugslag		znw*	terugslagen; /*	B2*		
	terugsturen		ww*	stuur terug, stuurde terug, teruggestuurd*	B1*		
	terugtreden		ww*	terugtreed, terugtrad, teruggetreden*	B2*		
zich	terugtrekken		ww*	terugtrek, terugtrok, teruggetrokken*	B1*		
	terugvallen		ww*	terugval, viel terug, teruggevallen*	B2*		
	terugvallen op						
	terugvinden		ww*	terugvind, vond terug, teruggevonden*	B1*		
de	terugweg		znw*	terugwegen; /*	B1*		
	terugwerkend		bnw*	terugwerkende; /, /*	B2*		
	terugzien		ww*	terugzie, zag terug, teruggezien*	B2*		
	terwijl		ovw*	*	A2*		
	terzijde		znw; bw*	*	B2*		
de	test		znw; znw*	testen; /*	A2*		
het	testament		znw*	testamenten; testamentje*	B1*		
	testen		ww*	test, testte, getest*	A2*		
de	teug		znw*	teugen; teugje*	B2*		
de	teugel		znw*	teugels; teugeltje*	B2*		
het	teveel		znw*	/; /*	A2*		
	tevens		bw*	*	B2*		
	tevergeefs		bw*	*	B2*		
	tevoorschijn		bw*	*	B2*		
	tevoren		bw*	*	B1*		
	tevreden		bnw*	/; tevredener, tevredenst*	A2*		
	teweegbrengen		ww*	breng teweeg, teweegbracht, teweeggebracht*	B2*		
het	textiel		bnw; znw*	textiele; /, /*	B2*		
	tezamen		bw*	*	B2*		
de	tgv		znw*	tgv's; /*	B2*		
	t.g.v.		afk*	*	B2*		
	thans		bw*	*	B2*		
het	theater		znw*	theaters; theatertje*	A2*		
de	theatervoorstelling		znw*	theatervoorstellingen; theatervoorstellinkje*	B2*		
de	thee		znw*	theeën; theetje*	A2*		
de	theedoek		znw*	theedoeken; theedoekje*	B1*		
de	theelepel		znw*	theelepels; theelepeltje*	B2*		
het	thema		znw; znw*	thema's; themaatje*	B2*		
de	theologie		znw*	/; /*	B2*		
	theologisch		bnw*	theologische; theologischer, /*	B2*		
	theoretisch		bnw*	theoretische; theoretischer, /*	B2*		
de	theorie		znw*	theorieën; theorietje*	B1*		
de	therapeut		znw*	therapeuten; therapeutje*	B1*		
de	therapeute		znw*	therapeutes; /*	B2*		
de	therapie		znw*	therapieën; therapietje*	B1*		
de	thermometer		znw*	thermometers; thermometertje*	B1*		
de	thermos		znw*	thermossen; thermosje*	B2*		
de	thermosfles		znw*	thermosflessen; thermosflesje*	B2*		
de	thermostaat		znw*	thermostaten; thermostaatje*	B1*		
de	thesis		znw*	theses; /*	B2*		
de	Thora		znw*	/; /*	B2*		
de	thriller		znw*	thrillers; thrillertje*	B1*		
	thuis		bw; znw*	*	A2*		
het	thuis		bw; znw*	/; thuisje*	A2*		
	thuisblijven		ww*	blijf thuis, bleef thuis, thuisgebleven*	B2*		
	thuishoren		ww*	thuishoor, hoorde thuis, thuisgehoord*	B2*		
	thuiskomen		ww*	kom thuis, thuiskwam, thuisgekomen*	A2*		
de	thuisploeg		znw*	thuisploegen; /*	B2*		
de	thuiswedstrijd		znw*	thuiswedstrijden; thuiswedstrijdje*	B2*		
de	thuiszorg		znw*	/; /*	B1*		
de	tic		znw*	tics; ticje*	B2*		
het	ticket		znw*	tickets; ticketje*	B1*		
	tien		tw; znw*	*	A1	10	
	tiende		znw; tw*	*	A2*	10de	
	tienduizend		tw; znw*	*	B1*	10000	
de	tiener		znw*	tieners; tienertje*	B1*		
het	tiental		znw*	tientallen; /*	B2*	±10	
het	tientje						
	tieren		ww*	tier, tierde, getierd*	B2*		
de	tiet		znw*	tieten; tietje*	B1*		
het	tij		znw*	tijen; /*	B2*	eb of vloed	
de	tijd		znw*	tijden; tijdje*	A2*		
	tijdelijk		bnw*	tijdelijke; tijdelijker, tijdelijkst*	B1*		
	tijdens		vz*	*	B1*		
de	tijdgeest		znw*	/; /*	B2*		
	tijdig		bnw*	tijdige; tijdiger, tijdigst*	B2*		
	tijdloos		bnw*	tijdloze; tijdlozer, tijdloost*	B2*		
het	tijdperk		znw*	tijdperken; tijdperkje*	B2*		
de	tijdrit		znw*	tijdritten; tijdritje*	B2*		
het	tijdschrift		znw*	tijdschriften; tijdschriftje*	A2*		
het	tijdstip		znw*	tijdstippen; /*	B1*		
de	tijger		znw*	tijgers; tijgertje*	B1*		
de	tijm		znw*	/; tijmpje*	B2*		
de	tik		tsw; znw*	tikken; tikje*	A2*		
het	tikje						
het	tikkeltje						
	tikken		ww*	tik, tikte, getikt*	A2*		
	tillen		ww*	til, tilde, getild*	B1*		
	tilt						
	timen		ww*	time, timede, getimed*	B2*		
	timide		bnw*	/; timideer, /*	B2*		
de	timing		znw*	/; /*	B2*		
	timmeren		ww*	timmer, timmerde, getimmerd*	A2*		
de	timmerman		znw*	timmermannen; timmermannetje*	B1*		
het	tin		znw; znw*	/; /*	B2*		
de	tint		znw*	tinten; tintje*	B2*		
	tintelen		ww*	tintel, tintelde, getinteld*	B2*		
de	tinteling		znw*	tintelingen; tintelingetje*	B2*		
de	tip		znw; znw*	tips; tipje*	B1*		
de	tipi		znw*	tipi's; /*	B2*		
	tippelen		ww*	tippel, tippelde, getippeld*	B2*		
	tippen		ww*	tip, tipte, getipt*	B2*		
de	tirade		znw*	tirades; /*	B2*		
de	tiran		znw*	tirannen; tirannetje*	B2*		
	tiranniek		bnw*	tirannieke; tirannieker, tiranniekst*	B2*		
de	tissue		znw*	tissues; tissuetje*	B1*		
de	titel		znw*	titels; titeltje*	B1*		
de	titelverdediger		znw*	titelverdedigers; /*	B2*		
de	titelverdedigster		znw*	titelverdedigsters; /*	B2*		
	tja		tsw*	*	B1*		
	tjilpen		ww*	tjilp, tjilpte, getjilpt*	B1*		
de	tl-buis		znw*	tl-buizen; tl-buisje*	B2*		
	t/m		afk*	*	B2*		
	TNO					(NL)	
	t.n.v.		afk*	*	B2*	ten name van: voor iemand specifieks	
de	toast		znw*	toasts; toostje*	B2*		
	tobben		ww*	tob, tobde, getobd*	B2*		
	tobben met						
	toch		bw*	*	A2*		
de	tocht		znw*	tochten; tochtje*	B1*	lange reis	
de	tocht		znw*	tochten; tochtje*	B1*	stroom koude lucht door je huis	
