	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	emmer		znw*	emmers; emmertje*	A2		
de	emoji		znw*	emoji's; /*	B2*		
het	emoticon		znw*	emoticons; /*	B2*		
de	emotie		znw*	emoties; emotietje*	B1*		
	emotioneel		bnw*	emotionele; emotioneler, emotioneelst*	B1*		
	empirisch 						
	en		ovw*	*	A2*	&	Dit zijn Anna en Johan.
	en		ovw*	*	A2*	+	Twee en twee is vier.
de	enclave		znw*	enclaves; enclavetje*	B2*		
de	encyclopedie		znw*	encyclopedieën; encyclopedietje*	B1*		
de	endeldarm		znw*	endeldarmen; /*	B2*		
;	ene		vnw*	*	A2*		
de	energie		znw*	energieën; /*	B1*		
het	energiebedrijf		znw*	energiebedrijven; energiebedrijfje*	B2*		
	energiek		bnw*	energieke; energieker, energiekst*	B2*		
	enerverend		bnw*	enerverende; enerverender, enerverendst*	B2*		
	enerzijds		bw*	*	A2		
	enfin		tsw; bw*	*	B2*		
	eng		bnw*	enge; enger, engst*	B1*		
het	engagement		znw*	engagementen; /*	B2*		
de	engel		znw*	engelen; engeltje*	B1*		
	Engels		bnw; znw*	engelse; engelser, engelst*	A2*		
het	Engels		bnw; znw*	/; /*	A2*		
	enig		vnw; bnw*	*	A2	schattig	
	enig		vnw; bnw*	*	A2	enkel, uniek	
het	enig kind					zonder broers of zussen	
	enigszins		bw*	*	B2*	een beetje, min of meer	
	enkel		vnw; bnw; znw; znw*	*	A2*		
de	enkel		vnw; bnw; znw; znw*	enkels; enkeltje*	A2*		
de	enkeling		znw*	enkelingen; /*	B2*		
het	enkeltje		znw*	enkeltjes; /*	A2*		
het	enkelvoud		znw*	enkelvouden; /*	B2*		
	enorm		bnw*	enorme; enormer, enormst*	B1*		
	enorm		bnw*	enorme; enormer, enormst*	B1*		
de	enquête		znw*	enquêtes; enquêtetje*	B2*		
het	ensemble		znw*	ensembles; ensembletje*	B2*		
het	entertainment		znw*	/; /*	B2*		
	enthousiast		znw; bnw*	enthousiaste; enthousiaster, enthousiastst*	B1*		
de	entourage		znw*	entourages; /*	B2*		
de	entree		znw*	entrees; entreetje*	B2*		
de	enveloppe		znw*	enveloppen; enveloppetje*	B1*		
	enz.		afk			enzovoorts: en nog andere dingen	
	enzovoorts		bw*	*	A2	en nog andere dingen	
de	EO						
de	epidemie		znw*	epidemies; epidemietje*	B2*		
de	epilepsie		znw*	/; /*	B2*		
de	episode		znw*	episoden; episodetje*	B2*		
de	equippe						
het	equivalent		znw; bnw*	equivalenten; equivalentje*	B2*		
	er		bw*	*	A2*		
	er-						
	eraan		bw*	*	B1*		
	erachter		bw*	*	B2*		
	eraf		bw*	*	B2*		
	erbij		bw*	*	A2*		
	erdoor		bw*	*	B2*		
de	e-reader		znw*	e-readers; /*	B2*		
de	erectie		znw*	erecties; /*	B2*		
de	eredivisie		znw*	eredivisies; /*	B2*		
het	ereloon		znw*	erelonen; /*	B2*	(BE)	
	eren		ww*	eer, eerde, geëerd*	B1*		
het	erf		znw*	erven; erfje*	B1*		
	erfelijk		bnw*	erfelijke; erfelijker, erfelijkst*	B1*		
de	erfenis		znw*	erfenissen; erfenisje*	B1*		
de	erfgenaam		znw*	erfgenamen; erfgenaampje*	B1*		
het	erfgoed		znw*	erfgoederen; erfgoedje*	B2*		
het	erfrecht		znw*	erfrechten; /*	B2*		
de	erfzonde		znw*	erfzondes; /*	B2*		
	erg		bnw; znw*	erge; erger, ergst*	A2*	niet goed, serieus	
	erg		bnw; znw*	erge; erger, ergst*	A2*	heel	
	ergens		bw*	*	B1*	op een bepaalde locatie	
	ergeren		ww*	erger, ergerde, geërgerd*	B1*		
zich	ergeren		ww*	erger, ergerde, geërgerd*	B1*		
	ergerlijk		bnw*	ergerlijke; ergerlijker, ergerlijkst*	B2*		
de	ergernis		znw*	ergernissen; ergernisje*	B2*		
	ergonomisch		bnw*	ergonomische; ergonomischer, /*	B2*		
	erin		bw*	*	B2*		
	erkend		bnw*	erkende; /, /*	B2*		
	erkennen		ww*	erken, erkende, erkend*	B1		
de	erkenning		znw*	erkenningen; /*	B2*		
	erkentelijk		bnw*	erkentelijke; erkentelijker, erkentelijkst*	B2*		
de	erker		znw*	erkers; erkertje*	B2*		
	ermee		bw*	*	B1*		
	erna		bw*	*	B2*		
	ernaar		bw*	*	B1*		
	ernaast		bw*	*	B2*		
de	ernst		znw*	/; /*	B1*		
	ernstig		bnw*	ernstige; ernstiger, ernstigst*	A2		
	erom		bw*	*	B2*		
	eromheen		bw*	*	B2*		
	eronder		bw*	*	B1*		
	erop		bw*	*	A2*		
de	erotiek		znw*	/; /*	B2*		
	erotisch		bnw*	erotische; erotischer, /*	B1*		
	erover		bw*	*	B2*		
	ertoe		bw*	*	B2*		
het	erts		znw*	ertsen; /*	B2*		
	eruit		bw*	*	B1*		
	eruitzien		ww*	eruitzie, eruitzag, eruitgezien*	A2	lijken	
	ervan		bw*	*	B1*		
	ervandoor		bw*	*	B2*		
	ervaren		ww; bnw*	ervaar, ervaarde, ervaren*	B1*	meemaken	
	ervaren		ww; bnw*	/; ervarener, ervarenst*	B1*		
de	ervaring		znw*	ervaringen; ervarinkje*	A2*		
	erven		ww; znw*	erf, erfde, geërfd*	B1*		
	ervoor		bw*	*	B1*		
de	erwt		znw*	erwten; erwtje*	B1*		
de	erwtensoep		znw*	erwtensoepen; erwtensoepje*	B2*		
de	es		znw; znw*	essen; esje*	B2*		
	escaleren		ww*	escaleer, escaleerde, geëscaleerd*	B2*		
de	esdoorn		znw*	esdoorns; esdoorntje*	B2*		
de	espresso		znw*	espresso's; espressootje*	B1*		
het	essay		znw*	essays; essaytje*	B2*		
de	essentie		znw*	essenties; /*	B2*		
	essentieel		bnw*	essentiële; essentiëler, essentieelst*	B2*		
de	Est		znw*	esten; /*	B2*		
de	esthetiek		znw*	/; /*	B2*		
	esthetisch		bnw*	esthetische; esthetischer, /*	B2*		
het	Ests		bnw; znw*	/; /*	B2*	taal van Estland	
de	etage		znw*	etages; etagetje*	B1*		
de	etalage		znw*	etalages; etalagetje*	B1*		
	etaleren		ww*	etaleer, etaleerde, geëtaleerd*	B2*		
de	etappe		znw*	etappes; etappetje*	B2*		
	etc.		bw*	*	B2*	et cetera	
	et cetera		bw*	*	B2*		
	eten		ww; znw*	eet, at, gegeten*	A1	brood, rijst, vlees, … consumeren	
het	eten		ww; znw*	/; etentje*	A2*	wat je eet	
het	etentje						
de	ether		znw*	ethers; /*	B2*		
de	ethiek		znw*	/; ethiekje*	B2*		
het	etiket		znw*	etiketten; etiketje*	B1*		
de	etiquette		znw*	/; /*	B2*		
het	etmaal		znw*	etmalen; etmaaltje*	B2*	periode van 24 uur	
	etnisch		bnw*	etnische; etnischer, /*	B2*		
de	ets		znw*	etsen; etsje*	B2*		
	etsen		ww*	ets, etste, geëtst*	B2*		
	ettelijke		vnw*	*	B2*	meerdere	
de	etter		znw; znw*	/; /*	B2*	vies geel vocht, bv. uit een vuile wond	
het	ettertje						
de	etude		znw*	etudes; /*	B2*		
het	etui		znw*	etuis; etuitje*	B2*		
de	EU		znw*	/; /*	B2*		
de	euforie		znw*	/; /*	B2*		
	euforisch		bnw*	euforische; euforischer, /*	B2*		
de	euro		znw*	euro's; eurootje*	A2*		
	euro-						
	Europa						
de	Europeaan		znw*	europeanen; europeaantje*	B2*		
	Europees		bnw*	europese; europeser, europeest*	B1*		
de	euthanasie		znw*	/; /*	B2*		
	euvel		znw; bnw*	euvele; euveler, euvelst*	B2*		
het	euvel		znw; bnw*	euvelen; euveltje*	B2*		
	evacueren		ww*	evacueer, evacueerde, geëvacueerd*	B2*		
	evalueren		ww*	evalueer, evalueerde, geëvalueerd*	B2*		
het	evangelie		znw*	evangelies; /*	B2*		
	even		bnw*	/; evener, evenst*	A2*	korte tijd	
	even		bnw*	/; evener, evenst*	A2*	deelbaar door 2	
de	evenaar		znw*	evenaars; /*	B2*		
	evenals		ovw*	*	B2	ook	
	evenaren		ww*	evenaar, evenaarde, geëvenaard*	B2*		
	eveneens		bw*	*	B2*		
het	evenement		znw*	evenementen; evenementje*	B1*		
	evengoed		bw*	*	B2*		
	evenmin		bw*	*	B2*		
	eventjes		bw*	*	B1*	voor een korte tijd	
	eventueel		bnw*	eventuele; eventueler, eventueelst*	B2*		
	eventueel		bnw*	eventuele; eventueler, eventueelst*	B2*		
	evenveel		vnw*	*	A2*		
	evenwel		bw*	*	B2*		
het	evenwicht		znw*	evenwichten; /*	B1*		
	evenwichtig		bnw*	evenwichtige; evenwichtiger, evenwichtigst*	B2*		
	evenwijdig		bnw*	evenwijdige; evenwijdiger, evenwijdigst*	B2*		
	evenzeer		bw*	*	B2*		
	evident		bnw*	evidente; evidenter, evidentst*	B2*		
de	evolutie		znw*	evoluties; evolutietje*	B2*		
	evt.		bnw*	/; /, /*	B2*	eventueel	
de	ex		znw; vz*	exen; exje*	B1*		
