	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	interesseren		ww*	interesseer, interesseerde, geïnteresseerd*	B1*		
zich	interesseren		ww*	interesseer, interesseerde, geïnteresseerd*	B1*		
het	interieur		znw*	interieurs; interieurtje*	B2*		
de	interimaris		znw*	interimarissen; /*	B2*		
het	interimbureau		znw*	interimbureaus; interimbureautje*	B2*		
de	interland		znw*	interlands; interlandje*	B2*		
de	interliner		znw*	interliners; /*	B2*		
het	intermezzo		znw*	intermezzo's; intermezzootje*	B2*		
	intern		znw; bnw*	interne; interner, internst*	B2*		
het	internaat		znw*	internaten; /*	B2*		
	internationaal		bnw*	internationale; internationaler, internationaalst*	A2*		
het	internet		znw*	/; internetje*	A2*		
de	interpretatie		znw*	interpretaties; /*	B2*		
	interpreteren		ww*	interpreteer, interpreteerde, geïnterpreteerd*	B2*		
de	interpunctie		znw*	interpuncties; /*	B2*		
de	interventie		znw*	interventies; /*	B2*		
het	interview		znw*	interviews; interviewtje*	B1*		
	interviewen		ww*	interview, interviewde, geïnterviewd*	B1*		
	intiem		bnw*	intieme; intiemer, intiemst*	B2*		
	intimideren		ww*	intimideer, intimideerde, geïntimideerd*	B2*		
de	intimiteit		znw*	intimiteiten; intimiteitje*	B2*		
de	intrede		znw*	intreden; /*	B2*		
de	intrek		znw*	/; /*	B1*		
	intrekken		ww*	trek in, trok in, ingetrokken*	B1*		
de	intrigant		znw*	intriganten; /*	B2*		
de	intrige		znw*	intriges; intrigetje*	B2*		
	intrigeren		ww*	intrigeer, intrigeerde, geïntrigeerd*	B2*		
de	introducé		znw*	introducés; introduceetje*	B2*		
	introduceren		ww*	introduceer, introduceerde, geïntroduceerd*	B2*		
de	introductie		znw*	introducties; introductietje*	B2*		
	introvert		bnw*	introverte; introverter, introvertst*	B2*		
de	intuïtie		znw*	intuïties; /*	B2*		
	intussen		bw*	*	B1*		
de	inval		znw*	invallen; invalletje*	B1*		
	invalide		bnw; znw*	/; invalider, /*	B1*		
	invallen		ww*	val in, viel in, ingevallen*	B1*		
de	invalshoek		znw*	invalshoeken; invalshoekje*	B2*		
de	invasie		znw*	invasies; invasietje*	B2*		
de	inventaris		znw*	inventarissen; /*	B2*		
	inventariseren		ww*	inventariseer, inventariseerde, geïnventariseerd*	B2*		
	inventief		bnw*	inventieve; inventiever, inventiefst*	B2*		
	investeren		ww*	investeer, investeerde, geïnvesteerd*	B2*		
de	investering		znw*	investeringen; investerinkje*	B2*		
de	invloed		znw*	invloeden; /*	B1*		
	invoeren		ww*	voer in, invoerde, ingevoerd*	B1*		
	invriezen		ww*	invries, vroor in, ingevroren*	B1*		
	invullen		ww*	invul, vulde in, ingevuld*	A2*		
	inwendig		bnw*	inwendige; inwendiger, inwendigst*	B2*		
	inwijden		ww*	wijd in, wijdde in, ingewijd*	B2*		
	inwijden in						
	inwijken		ww*	inwijk, inweek, ingeweken*	B2*		
	inwilligen		ww*	willig in, willigde in, ingewilligd*	B2*		
de	inwoner		znw*	inwoners; inwonertje*	B1*		
de	inzage		znw*	inzagen; /*	B2*		
	inzake		vz*	*	B2*		
	inzamelen		ww*	inzamel, inzamelde, ingezameld*	B1*		
	inzenden		ww*	inzend, zond in, ingezonden*	B2*		
de	inzending		znw*	inzendingen; inzendinkje*	B1*		
de	inzet		znw*	inzetten; inzetje*	B1*		
	inzetbaar		bnw*	inzetbare; inzetbaarder, inzetbaarst*	B2*		
	inzetten		ww*	zet in, inzette, ingezet*	B1*		
zich	inzetten		ww*	zet in, inzette, ingezet*	B1*		
het	inzicht		znw*	inzichten; inzichtje*	B1*		
	inzien		ww; znw*	inzie, inzag, ingezien*	B2*		
het	inzien		ww; znw*	/; /*	B2*		
de	inzinking		znw*	inzinkingen; inzinkinkje*	B2*		
	inzitten over						
de	inzittende		znw*	inzittenden; /*	B2*		
het	IOC						
	i.p.v.		afk*	*	B2*		
het	IQ		znw*	iq's; /*	B2*		
de	ironie		znw*	/; /*	B2*		
	ironisch		bnw*	ironische; ironischer, /*	B2*		
	irritant		bnw*	irritante; irritanter, irritantst*	B1*		
de	irritatie		znw*	irritaties; /*	B1*		
de	islam		znw*	/; /*	A2*		
	i.s.m.		afk*	*	B2*		
het	isolement		znw*	isolementen; /*	B2*		
	isoleren		ww*	isoleer, isoleerde, geïsoleerd*	B1*		
de	IT		znw*	/; /*	B2*		
	Italiaans		bnw; znw*	italiaanse; italiaanser, italiaanst*	B2*		
	Italië						
	italisch				C1	cursief	
het	item		znw; bw*	items; itempje*	B2*		
	i.t.t.		afk*	*	B2*		
	i.v.m.		afk*	*	B2*		
