	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	aanscherpen		ww*	aanscherp, scherpte aan, aangescherpt*	B2*		
	aanschouwen		ww*	aanschouw, aanschouwde, aanschouwd*	B2*		
	aanslaan		ww*	aansla, aansloeg, aangeslagen*	B2*	automatisch beginnen te werken	De centrale verwarming slaat altijd om 6 uur aan.
	aanslaan		ww*	sla aan, aansloeg, aangeslagen*	B2*	populair worden	
de	aanslag		znw*	aanslagen; aanslagje*	B1*		
het	aanslagbiljet		znw*	aanslagbiljetten; aanslagbiljetje*	B2*		
	aansluiten		ww*	sluit aan, sloot aan, aangesloten*	B1	verbinden	
	aansluiten bij		ww			passen/horen bij	
zich	aansluiten bij		ww			volgen, gaan deelnemen	
de	aansluiting		znw*	aansluitingen; /*	B1*	verbinding met een netwerk	
de	aansluiting		znw*	aansluitingen; /*	B1*	contact, gevoel van samenzijn	
de	aansluiting		znw*	aansluitingen; /*	B1*	verbinding met een bus, trein, enz.	
	aanspannen		ww*	span aan, aanspande, aangespannen*	B1*		
	aansporen		ww*	spoor aan, spoorde aan, aangespoord*	B2*		
de	aanspraak		znw*	aanspraken; aanspraakje*	B2*		
	aanspraak maken op						
	aansprakelijk		bnw*	aansprakelijke; aansprakelijker, aansprakelijkst*	B2*	verantwoordelijk	
	aanspreken		ww*	aanspreek, aansprak, aangesproken*	B2*	interessant lijken; leuk gevonden worden	
	aanspreken		ww*	aanspreek, aansprak, aangesproken*	B2*	naar iemand gaan en iets tegen die persoon zeggen	
	aanspreken op		ww			een opmerking geven over (bv. gedrag)	
	aanstaan		ww*	sta aan, stond aan, aangestaan*	B1*		
	aanstaand		bnw*	aanstaande; /, /*	B2*	komend	Ze gaan aanstaande zaterdag trouwen.
	aanstaand		bnw*	aanstaande; /, /*	B2*	die iets gaat worden	Aanstaande ouders maken aan cadeaulijstje voor de baby die komt.
	aanstalten maken		afk*	*	B2*	tonen dat je iets gaat doen	
	aansteken		ww*	aansteek, stak aan, aangestoken*	B1*	doen branden 	
	aansteken		ww*	aansteek, stak aan, aangestoken*	B1*	een ziekte doorgeven	
	aansteken		ww*	steek aan, stak aan, aangestoken*	B1*	als anderen jouw gedrag gaan nadoen	Lode steekt zijn vriendjes aan; het zijn nu allemaal pestkoppen...
de	aansteker		znw*	aanstekers; aanstekertje*	A2*		
	aanstellen		ww*	aanstel, aanstelde, aangesteld*	B1*		
zich	aanstellen		ww*	aanstel, aanstelde, aangesteld*	B1*	raar doen, overdrijven	
de	aanstelling		znw*	aanstellingen; /*	B2*		
de	aanstoot		znw*	/; /*	B1*		
	aanstoot geven						
	aanstoot nemen aan						
	aanstootgevend		bnw*	aanstootgevende; aanstootgevender, aanstootgevendst*	B2*		
	aansturen op		ww				
het	aantal		znw*	aantallen; aantalletje*	A2	hoeveel er zijn	In de tabel staat het aantal studenten per klas.
het	aantal		znw*	aantallen; aantalletje*	A2	enkele, een paar	Ik ga een aantal dagen naar Berlijn.
	aantasten		ww*	aantast, tastte aan, aangetast*	B2*		
	aantekenen		ww*	aanteken, aantekende, aangetekend*	B2*		
de	aantekening		znw*	aantekeningen; aantekeningetje*	B1*		
de	aantijging		znw*	aantijgingen; /*	B2*		
de	aantocht		znw*	/; /*	B2*		
	aantonen		ww*	aantoon, toonde aan, aangetoond*	B2*		
	aantreden		ww*	aantreed, trad aan, aangetreden*	B2*		
	aantreffen		ww*	tref aan, trof aan, aangetroffen*	B1	vinden; tegenkomen	
	aantrekkelijk		bnw*	aantrekkelijke; aantrekkelijker, aantrekkelijkst*	B1	mooi	
	aantrekken		ww*	aantrek, trok aan, aangetrokken*	A2	aandoen (van kleren)	
	aantrekken		ww*	aantrek, aantrok, aangetrokken*	A2*	interessant zijn voor iemand	
	aantrekken		ww*	trek aan, trok aan, aangetrokken*	B1	doen komen (door bv. interesse)	
de	aantrekkingskracht		znw*	aantrekkingskrachten; /*	B2*		
	aanvaardbaar		bnw*	aanvaardbare; aanvaardbaarder, aanvaardbaarst*	B2*		
	aanvaarden		ww*	aanvaard, aanvaardde, aanvaard*	B2	accepteren	Ik aanvaard je excuses niet!
de	aanval		znw*	aanvallen; aanvalletje*	A2		
	aanvallen		ww*	val aan, viel aan, aangevallen*	A2		
de	aanvaller		znw*	aanvallers; aanvallertje*	B2*		
de	aanvang		znw*	/; /*	B2	begin	
	aanvangen		ww*	aanvang, ving aan, aangevangen*	B2	beginnen	
	aanvankelijk		bnw*	aanvankelijke; aanvankelijker, aanvankelijkst*	B2	eerst, in het begin	
de	aanvaring		znw*	aanvaringen; aanvarinkje*	B2*		
	aanvechten		ww*	vecht aan, aanvocht, aangevochten*	B2*		
	aanverwant		znw; bnw*	aanverwante; aanverwanter, aanverwantst*	B2*		
	aanvoelen		ww*	voel aan, aanvoelde, aangevoeld*	B2*		
het	aanvoelen		ww*	voel aan, aanvoelde, aangevoeld*	B2*	instinct	
de	aanvoerder		znw*	aanvoerders; aanvoerdertje*	B1*		
	aanvoeren		ww*	voer aan, aanvoerde, aangevoerd*	B2*		
de	aanvraag		znw*	aanvragen; aanvraagje*	B1*		
	aanvragen		ww*	vraag aan, aanvraagde, aangevraagd*	A2	vragen om te hebben	
